species	max_distance	mean_distance	std_distance	quartile_75_distance	quartile_25_distance	max_length	min_length
Arthrobacter sp.	0.295981	0.19376741836734696	0.06651695084596544	0.23011	0.178173	5563753.0	4018639.0
Arthrospira sp.	0.0	0.0		0.0	0.0	6434389.0	6434389.0
Asaia bogorensis	0.0	0.0		0.0	0.0	3198265.0	3198265.0
Aster yellows	0.0	0.0		0.0	0.0	723970.0	723970.0
Asticcacaulis excentricus	0.0937829	0.04689145	0.05414558256038376	0.0937829	0.0	4308776.0	3793195.0
Atlantibacter hermannii	0.0	0.0		0.0	0.0	4553773.0	4553773.0
Atopobium parvulum	0.0	0.0		0.0	0.0	1543805.0	1543805.0
Aurantimicrobium minutum	0.0	0.0		0.0	0.0	1622386.0	1622386.0
Aurantimicrobium sp.	0.167688	0.083844	0.09681471193986997	0.167688	0.0	1748063.0	1609479.0
Aureimonas sp.	0.0	0.0		0.0	0.0	5210858.0	5210858.0
Aureitalea sp.	0.0	0.0		0.0	0.0	3182272.0	3182272.0
Auricoccus indicus	0.0	0.0		0.0	0.0	1745789.0	1745789.0
Auritidibacter sp.	0.0	0.0		0.0	0.0	2656163.0	2656163.0
Austwickia chelonae	0.0	0.0		0.0	0.0	3631970.0	3631970.0
Avibacterium paragallinarum	0.0	0.0		0.0	0.0	2425949.0	2425949.0
Avibacterium volantium	0.0	0.0		0.0	0.0	2230476.0	2230476.0
Azoarcus communis	0.0465005	0.02325025	0.026847076192452194	0.0465005	0.0	4886933.0	4572081.0
Azoarcus olearius	0.0	0.0		0.0	0.0	4451751.0	4451751.0
Azoarcus sp.	0.263022	0.16449317600000002	0.0959592425306194	0.23011	0.0955937	5818755.0	3225512.0
Azorhizobium caulinodans	0.0	0.0		0.0	0.0	5369772.0	5369772.0
Azospira oryzae	0.0	0.0		0.0	0.0	3806980.0	3806980.0
Azospirillum brasilense	0.0529154	0.033973041600000004	0.02179389546743684	0.0485634	0.00305472	7928656.0	6587527.0
Azospirillum lipoferum	0.0	0.0		0.0	0.0	6846400.0	6846400.0
Azospirillum sp.	0.167688	0.095580304	0.056806514117708366	0.149777	0.0820539	8102478.0	6316263.0
Azospirillum thiophilum	0.0	0.0		0.0	0.0	7609458.0	7609458.0
Azotobacter chroococcum	0.0222766	0.0111383	0.012861401006629617	0.0222766	0.0	5192286.0	5023055.0
Azotobacter vinelandii	0.000167546	7.446488888888888e-05	8.830449547509521e-05	0.000167546	0.0	5366370.0	5323210.0
Bacillus aerophilus							
Bacillus albus							
Bacillus altitudinis							
Bacillus amyloliquefaciens	0.0217795	0.010588228212345679	0.007562015852842145	0.016953599999999996	0.00375609	4088240.0	3688209.0
Bacillus anthracis	0.017653	0.0014045250338399998	0.003187863533065324	0.00139189	0.000191626	5601083.0	5227060.0
Bacillus aryabhattai							
Bacillus asahii	0.0	0.0		0.0	0.0	4887494.0	4887494.0
Bacillus atrophaeus	0.015616	0.009443177777777777	0.007264287908112153	0.015347	0.0	4325818.0	4168266.0
Bacillus beveridgei	0.0	0.0		0.0	0.0	3582268.0	3582268.0
Bacillus bombysepticus							
Bacillus butanolivorans	0.0	0.0		0.0	0.0	5568346.0	5568346.0
Bacillus cellulasensis	0.0139988	0.00524955	0.0069994	0.0139988	0.0	3793419.0	3740896.0
Bacillus cellulosilyticus	0.0	0.0		0.0	0.0	4681672.0	4681672.0
Bacillus cereus	0.0766828	0.04913391336944444	0.02405492179589773	0.07095139999999997	0.029517900000000007	6068729.0	5247580.0
Bacillus circulans	0.00659353	0.003296765	0.003806776320409873	0.00659353	0.0	5274417.0	5175203.0
Bacillus clausii	0.04058540000000002	0.019347848888888897	0.019821322333737262	0.03949880000000002	0.0	4517459.0	4296341.0
Bacillus coagulans	0.0437856	0.01607719015	0.014776003623803557	0.014696400000000002	0.009927324999999999	3694837.0	3073079.0
Bacillus cohnii	0.0	0.0		0.0	0.0	4899141.0	4899141.0
Bacillus cytotoxicus	0.00631659	0.0033922379057851238	0.002676277294184714	0.00580821	0.000215742	4389357.0	4094159.0
Bacillus filamentosus	0.0	0.0		0.0	0.0	5313985.0	5313985.0
Bacillus flexus	0.0	0.0		0.0	0.0	4104242.0	4104242.0
Bacillus foraminis	0.0	0.0		0.0	0.0	5977666.0	5977666.0
Bacillus freudenreichii	0.0	0.0		0.0	0.0	4368765.0	4368765.0
Bacillus gibsonii							
